age,bmi,km5_time_seconds,km10_time_seconds
36.0,23.2712593078613,1380.0,2929
47.0,24.5510673522949,NA,2504
21.0,18.28835105896,NA,3350
24.0,21.3858814239502,1143.0,2301
31.0,22.2634506225586,1400.0,3120
24.0,21.0615863800049,1037.0,NA
27.0,25.2340793609619,1245.0,NA
39.0,29.1621971130371,2054.0,NA
37.0,25.9685707092285,1290.0,NA
27.0,21.8904991149902,1482.0,3405
45.0,27.5416889190674,1937.0,NA
58.0,19.200267791748,NA,3484
46.0,31.0724430084229,2163.0,4147
39.0,23.677225112915,1290.0,NA
50.0,24.1354942321777,NA,3480
44.0,22.2038230895996,1330.0,3051
30.0,22.0195026397705,NA,2880
42.0,24.3413734436035,NA,2580
68.0,26.2740821838379,1441.0,NA
36.0,19.7955894470215,1180.0,2490
29.0,22.9134426116943,1364.0,NA
41.0,22.2634506225586,1616.0,3817
34.0,25.2319107055664,1405.0,NA
46.0,21.2244892120361,1009.0,NA
31.0,21.9666042327881,1150.0,2494
34.0,21.3858814239502,NA,2716
29.0,27.4582576751709,1250.0,2643
35.0,25.5415782928467,1620.0,NA
43.0,24.5510673522949,1880.0,NA
29.0,28.3521347045898,1446.0,NA
41.0,27.9035243988037,NA,2995
55.0,19.6602687835693,NA,2850
33.0,21.929271697998,1236.0,NA
31.0,21.2497501373291,1007.0,NA
29.0,23.1481494903564,1150.0,2655
18.0,21.1535491943359,1007.0,NA
21.0,23.9194107055664,1051.0,2200
28.0,19.8656711578369,1625.0,NA
51.0,23.905969619751,1480.0,NA
37.0,36.7564544677734,2182.0,4183
30.0,23.5923233032227,1281.0,NA
56.0,28.659646987915,1920.0,4200
33.0,24.2424240112305,2709.0,5257
54.0,21.3858814239502,1620.0,NA
50.0,22.1661071777344,1322.0,NA
51.0,24.4318180084229,NA,2565
30.0,28.6456394195557,1530.0,NA
33.0,21.0615863800049,NA,2545
42.0,23.0057334899902,1274.0,2548
38.0,22.3776226043701,1114.0,NA
45.0,25.8136920928955,1412.0,NA
37.0,18.99196434021,1220.0,NA
34.0,26.4234027862549,1067.0,NA
56.0,22.4118728637695,NA,2345
37.0,25.9219512939453,2160.0,NA
35.0,23.8830413818359,1110.0,NA
58.0,18.8738594055176,NA,3120
40.0,28.1329460144043,NA,3000
48.0,25.9219512939453,1894.0,NA
45.0,22.3776226043701,1773.0,NA
31.0,24.2090320587158,1680.0,3780
24.0,21.5169448852539,1303.0,NA
28.0,23.7476806640625,1793.0,3774
37.0,25.6818180084229,NA,3900
32.0,23.677225112915,1198.0,NA
36.0,20.8698558807373,1642.0,NA
41.0,30.2714996337891,2083.0,4814
35.0,30.123722076416,1934.0,4206
26.0,25.858585357666,NA,3182
42.0,23.428731918335,NA,2552
49.0,22.6817073822021,1764.0,NA
57.0,22.5497150421143,1400.0,NA
42.0,24.5510673522949,1443.0,2578
34.0,28.9471225738525,2063.0,NA
40.0,23.804801940918,1356.0,2856
47.0,24.9719429016113,1331.0,2997
26.0,26.655445098877,2400.0,NA
31.0,22.57785987854,1240.0,2598
56.0,21.3858814239502,NA,4440
34.0,21.1726741790771,1092.0,NA
27.0,27.524377822876,NA,2484
25.0,22.3620853424072,1020.0,2180
35.0,25.2475166320801,NA,2778
46.0,21.2244892120361,1257.0,2730
28.0,24.5510673522949,1380.0,3000
27.0,25.9688739776611,1792.0,NA
23.0,20.4466800689697,1530.0,NA
33.0,32.968578338623,2372.0,5220
39.0,23.8830413818359,NA,2754
55.0,24.0420742034912,NA,2560
38.0,24.8505821228027,NA,2835
16.0,19.476655960083,985.0,2055
45.0,26.4417018890381,1629.0,3277
60.0,32.4074096679688,2040.0,NA
53.0,21.7046508789062,NA,3060
43.0,22.6817073822021,1794.0,3780
45.0,20.9276123046875,1590.0,3060
53.0,20.7748546600342,1396.0,NA
33.0,22.6817073822021,1650.0,NA
27.0,21.8612155914307,1569.0,3261
37.0,26.8345031738281,2354.0,4380
33.0,24.2090320587158,NA,4140
25.0,24.3070697784424,1052.0,2308
51.0,26.5677185058594,NA,2890
41.0,24.5429515838623,1005.0,NA
31.0,19.53125,1410.0,NA
36.0,20.035062789917,NA,2880
34.0,24.2376174926758,NA,3430
33.0,24.3044013977051,NA,2431
47.0,21.3858814239502,1002.0,NA
46.0,24.6913585662842,1480.0,NA
23.0,23.9701690673828,1393.0,NA
35.0,27.3569030761719,1540.0,3482
